real_ip, ip, date, file
::1,::1,'January 14, 2018, 12:44:39 pm',search
::1,::1,'January 14, 2018, 12:45:45 pm',search.php?type=ponto&class=185,186&query=S%C3%A3o
::1,::1,'January 19, 2018, 8:13:03 pm',list
::1,::1,'January 19, 2018, 8:13:08 pm',list.php?type=ponto&class=185,186&init=1580&end=1640
::1,::1,'March 9, 2018, 5:24:30 pm',search
::1,::1,'March 9, 2018, 5:24:35 pm',search.php?class=185,186&init=1580&end=1640&phrase=S%C3%A3o%20Paulo
::1,::1,'March 9, 2018, 5:26:37 pm',search.php?class=185,186&init=1580&end=1640&phrase=S%C3%A3o%20Paulo
::1,::1,'March 9, 2018, 5:27:18 pm',search.php?class=185,186&init=1580&end=1640&phrase=S%C3%A3o%20Paulo
::1,::1,'March 9, 2018, 7:07:28 pm',search
::1,::1,'March 9, 2018, 7:10:47 pm',search
::1,::1,'March 9, 2018, 7:10:51 pm',search.php?class=185,186&init=1580&end=1640&phrase=S%C3%A3o%20Paulo
::1,::1,'March 9, 2018, 7:11:20 pm',search.php?class=1901&phrase=Ac
::1,::1,'March 9, 2018, 7:12:56 pm',search.php?class=1901&phrase=Ac
::1,::1,'March 14, 2018, 10:46:15 pm',list
::1,::1,'March 14, 2018, 10:46:27 pm',list
::1,::1,'March 14, 2018, 10:46:30 pm',list.php?&class=185
::1,::1,'March 14, 2018, 10:52:29 pm',list.php?&class=185
::1,::1,'March 14, 2018, 10:52:39 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 10:57:05 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 10:57:21 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 10:58:09 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 10:59:02 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 10:59:22 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:00:06 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:01:02 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:01:13 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:06:26 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:06:55 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:07:13 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:10:09 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:11:20 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:12:10 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:13:25 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:13:26 pm',list.php?&class=185&output=csv
::1,::1,'March 14, 2018, 11:13:28 pm',list.php?&class=185&output=tsv
::1,::1,'March 14, 2018, 11:14:17 pm',list.php?&class=185&output=tsv
::1,::1,'March 14, 2018, 11:14:48 pm',list.php?&class=185&output=tsv&obs=false
::1,::1,'March 14, 2018, 11:14:59 pm',categories
::1,::1,'March 14, 2018, 11:15:07 pm',list.php?&class=1058&output=tsv&obs=false
::1,::1,'March 14, 2018, 11:15:13 pm',list.php?&class=1058&output=tsv
::1,::1,'March 14, 2018, 11:15:27 pm',list.php?&class=1058
::1,::1,'March 14, 2018, 11:15:36 pm',list.php?&class=1058&output=csv
::1,::1,'March 14, 2018, 11:15:45 pm',list.php?&class=1058&output=tsv
::1,::1,'March 14, 2018, 11:15:52 pm',list.php?&class=1058&output=tsv$obs=false
::1,::1,'March 14, 2018, 11:15:55 pm',list.php?&class=1058&output=tsv&obs=false
::1,::1,'March 14, 2018, 11:19:08 pm',list.php?&class=1058&output=tsv&obs=false
::1,::1,'March 23, 2018, 12:25:00 pm',categories
::1,::1,'March 23, 2018, 12:25:15 pm',list
::1,::1,'March 23, 2018, 12:25:27 pm',list.php?class=1058$format=tsv
::1,::1,'March 23, 2018, 12:25:35 pm',list.php?class=1058&format=tsv
::1,::1,'March 23, 2018, 12:25:49 pm',list.php?class=1058&output=tsv
::1,::1,'March 23, 2018, 12:25:58 pm',list.php?class=1058&output=tsv&obs=true
::1,::1,'March 23, 2018, 12:39:29 pm',list.php?class=1058&output=csv&obs=true
::1,::1,'March 26, 2018, 3:31:58 pm',list.php?class=1058$format=tsv
